VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Aug-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/884,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/885,Monthly Fees C M,6000,STAAH
Sales,Aug-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/885,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/885,Monthly Google Listing,1500,STAAH
Sales,Aug-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/885,Monthly Google Listing,726,STAAH
Sales,Aug-2023,Devasthali - STAAH,Rb/ST/23-24/886,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Aug-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/887,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Aug-2023,Eros Boutique - STAAH New,Rb/ST/23-24/888,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/889,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/890,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/890,Monthly Fees  B E,2500,STAAH
Sales,Aug-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/890,Monthly Fees RM,2500,STAAH
Sales,Aug-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/890,Monthly Google Listing,2500,STAAH
Sales,Aug-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/891,Monthly Fees C M,3000,STAAH
Sales,Aug-2023,Golden Tulip - STAAH,Rb/ST/23-24/892,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/893,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Graciano Cottages - STAAH,Rb/ST/23-24/894,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/895,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Granpa's Inn - STAAH,Rb/ST/23-24/896,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/897,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Hotel Avisha Residency - STAAH,Rb/ST/23-24/898,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/899,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/900,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/900,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/901,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/902,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/902,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Hotel Mayura - STAAH,Rb/ST/23-24/903,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/904,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/904,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Hotel Reemz - STAAH,Rb/ST/23-24/905,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/906,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/907,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/908,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/909,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/909,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/909,Monthly Google Listing,2500,STAAH
Sales,Aug-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/910,Monthly Fees C M,2100,STAAH
Sales,Aug-2023,Kalki Resorts,Rb/ST/23-24/911,Monthly Fees C M,3000,STAAH
Sales,Aug-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/912,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/913,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/913,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/914,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,La Grace Resort - STAAH,Rb/ST/23-24/915,Monthly Fees C M,4250,STAAH
Sales,Aug-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/916,Monthly Fees C M,5500,STAAH
