VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Dec-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1764,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Granpa's Inn - STAAH,Rb/ST/23-24/1765,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/1766,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/1766,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Hotel Avisha Residency - STAAH,Rb/ST/23-24/1767,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/1768,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1769,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1769,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/1770,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1771,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1771,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Hotel Mayura - STAAH,Rb/ST/23-24/1772,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Dec-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1773,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1773,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Hotel Reemz - STAAH,Rb/ST/23-24/1774,Monthly Fees C M,5000,STAAH
Sales,Dec-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/1775,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/1776,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Dec-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/1777,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Dec-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1778,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1778,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1778,Monthly Google Listing,2500,STAAH
Sales,Dec-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/1779,Monthly Fees C M,2100,STAAH
Sales,Dec-2023,Kalki Resorts,Rb/ST/23-24/1780,Monthly Fees C M,2100,STAAH
