VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jun-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/458,Monthly Fees C M,6000,STAAH
Sales,Jun-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/458,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Devasthali - STAAH,Rb/ST/23-24/459,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Jun-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/460,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Jun-2023,Eros Boutique - STAAH New,Rb/ST/23-24/461,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/462,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Jun-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/463,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/463,Monthly Fees  B E,2500,STAAH
Sales,Jun-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/463,Monthly Fees RM,2500,STAAH
Sales,Jun-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/463,Monthly Google Listing,2500,STAAH
Sales,Jun-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/464,Monthly Fees C M,3000,STAAH
Sales,Jun-2023,Golden Tulip - STAAH,Rb/ST/23-24/465,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/466,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Graciano Cottages - STAAH,Rb/ST/23-24/467,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/468,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Granpa's Inn - STAAH,Rb/ST/23-24/469,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/470,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Hotel Avisha Residency (C) - STAAH,Rb/ST/23-24/471,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/472,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/473,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Jun-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/474,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/475,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/475,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Hotel Mayura - STAAH,Rb/ST/23-24/476,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Jun-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/477,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/477,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Hotel Reemz - STAAH,Rb/ST/23-24/478,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/479,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/480,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Jun-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/481,Booking Engine & C.M.S. (STAAH),5000,STAAH
