VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Oct-2023,Eros Boutique - STAAH New,Rb/ST/23-24/1314,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/1315,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1316,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1316,Monthly Fees  B E,2500,STAAH
Sales,Oct-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1316,Monthly Fees RM,2500,STAAH
Sales,Oct-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/1316,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/1317,Monthly Fees C M,3000,STAAH
Sales,Oct-2023,Golden Tulip - STAAH,Rb/ST/23-24/1318,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/1319,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Graciano Cottages - STAAH,Rb/ST/23-24/1320,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1321,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1321,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/1321,Monthly Fees  B E,950,STAAH
Sales,Oct-2023,Granpa's Inn - STAAH,Rb/ST/23-24/1322,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/1323,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Hotel Avisha Residency - STAAH,Rb/ST/23-24/1324,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/1325,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1326,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/1326,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/1327,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1328,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/1328,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Hotel Mayura - STAAH,Rb/ST/23-24/1329,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1330,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/1330,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Hotel Reemz - STAAH,Rb/ST/23-24/1331,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/1332,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/1333,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/1334,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1335,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1335,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/1335,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/1336,Monthly Fees C M,2100,STAAH
Sales,Oct-2023,Kalki Resorts,Rb/ST/23-24/1337,Monthly Fees C M,3000,STAAH
