VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Sept-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/1129,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1130,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1130,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/1131,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,La Grace Resort - STAAH,Rb/ST/23-24/1132,Monthly Fees C M,4250,STAAH
Sales,Sept-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1133,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1133,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1133,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,La Sunila (C) - STAAH,Rb/ST/23-24/1134,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1135,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1135,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Mansionhaus - STAAH,Rb/ST/23-24/1136,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Mansionhaus - STAAH,Rb/ST/23-24/1136,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1137,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1137,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1138,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1138,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Marina Bay - STAAH New,Rb/ST/23-24/1139,Monthly Fees C M,5750,STAAH
Sales,Sept-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1140,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1140,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,Mateus Boutique Hotel - STAAH,Rb/ST/23-24/1141,Monthly Fees C M,2500,STAAH
