VCHTYPE,DATE,VCHSTATUSDATE,NARRATION,ENTEREDBY,CMPGSTIN,VOUCHERTYPENAME,PARTYLEDGERNAME,VOUCHERNUMBER,CMPGSTREGISTRATIONTYPE,CMPGSTSTATE,NUMBERINGSTYLE,VCHSTATUSVOUCHERTYPE,VCHSTATUSTAXUNIT,VCHENTRYMODE,EFFECTIVEDATE,ALTERID,MASTERID,VOUCHERKEY,VOUCHERRETAINKEY,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/225,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115116, 68037,193471096815840,67009,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/226,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115117, 68038,193471096815848,67013,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Beleza...by the Beach - STAAH,Rb/ST/23-24/227,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115118, 68039,193471096815856,67017,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/228,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115119, 68040,193471096815864,67021,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/229,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115120, 68041,193471096815872,67025,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Cabo Serai - STAAH,Rb/ST/23-24/230,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115121, 68042,193471096815880,67029,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Calangute Beach Resort - STAAH,Rb/ST/23-24/231,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115122, 68043,193471096815888,67033,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/232,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115123, 68044,193471096815896,67037,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Goa Electronics - STAAH,Rb/ST/23-24/233,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115125, 68045,193471096815904,67041,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/234,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115126, 68046,193471096815912,67045,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Casa De Goa - STAAH,Rb/ST/23-24/235,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115144, 68053,193471096815920,67049,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Casa Menezes - STAAH,Rb/ST/23-24/236,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115145, 68054,193471096815928,67053,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Casa Severina - STAAH,Rb/ST/23-24/237,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115146, 68055,193471096815936,67057,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/238,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115147, 68056,193471096815944,67061,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/239,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115148, 68057,193471096815952,67065,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Chances Resort And Casino - STAAH,Rb/ST/23-24/240,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115149, 68058,193471096815960,67069,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Cochichos Resort - STAAH,Rb/ST/23-24/241,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115150, 68059,193471096815968,67073,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Coconut Creek - STAAH,Rb/ST/23-24/242,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115151, 68060,193471096815976,67077,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Crystal Serenity - STAAH,Rb/ST/23-24/243,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115152, 68061,193471096815984,67081,,,0,0,,,0,0
