_id,PARTYLEDGERNAME
65d0f593a9f96d011aaf4d99,Sea Shell Hospitality
65d0f593a9f96d011aaf4d9a,Velha Goa
65d0f593a9f96d011aaf4d9b,Chowgule Warehousing & Logistics Services Pvt Ltd 1
65d0f593a9f96d011aaf4d9c,Gadre Marine Export Private Limited
65d0f593a9f96d011aaf4d9d,Classic Squares Pvt. Ltd. (Hospitality Division )
65d0f593a9f96d011aaf4d9e,Vision Multispeciality Hospital
65d0f593a9f96d011aaf4d9f,Tulip Diagnostics Private Limited
65d0f593a9f96d011aaf4da0,Masala Travel Company
65d0f593a9f96d011aaf4da1,Blue Ocean Hospitality Pvt Ltd
65d0f593a9f96d011aaf4da2,The Southern Deck
65d0f593a9f96d011aaf4da3,Punjab National Bank
65d0f593a9f96d011aaf4da4,Punjab National Bank
65d0f593a9f96d011aaf4da5,Crystal Village - STAAH
65d0f593a9f96d011aaf4da6,Sea Queen Beach Resort & Spa - STAAH
65d0f593a9f96d011aaf4da7,Sandalwood Hotel & Retreat - STAAH
65d0f593a9f96d011aaf4da8,Dempo River Sal Resort & Spa - STAAH
65d0f593a9f96d011aaf4da9,Cash
65d0f593a9f96d011aaf4daa,Cash
65d0f593a9f96d011aaf4dab,Cash
65d0f593a9f96d011aaf4dac,Endurance International Group (India) Pvt. Ltd.
65d0f593a9f96d011aaf4dad,YU HOTEL
65d0f593a9f96d011aaf4dae,Masala Travel Company
65d0f593a9f96d011aaf4daf,Blue Ocean Hospitality Pvt Ltd
65d0f593a9f96d011aaf4db0,Alaya Villas - STAAH
65d0f593a9f96d011aaf4db1,Acron BNB - STAAH (New)
65d0f593a9f96d011aaf4db2,Acron Candolim Regina - STAAH
65d0f593a9f96d011aaf4db3,Acron Waterfront Resort - STAAH
65d0f593a9f96d011aaf4db4,Acron Seaway Resort - STAAH
65d0f593a9f96d011aaf4db5,Casa Severina - STAAH
65d0f593a9f96d011aaf4db6,The Flora Grand - STAAH New
65d0f593a9f96d011aaf4db7,Ruhe Stay Villas - STAAH
65d0f593a9f96d011aaf4db8,Marmogoa Municipal Council
65d0f593a9f96d011aaf4db9,YU HOTEL
65d0f593a9f96d011aaf4dba,YU Hotel - STAAH
65d0f593a9f96d011aaf4dbb,Hdfc Bank
65d0f593a9f96d011aaf4dbc,Hdfc Bank
65d0f593a9f96d011aaf4dbd,Hdfc Bank
65d0f593a9f96d011aaf4dbe,Hdfc Bank
65d0f593a9f96d011aaf4dbf,Hdfc Bank
65d0f593a9f96d011aaf4dc0,Hdfc Bank
65d0f593a9f96d011aaf4dc1,Hdfc Bank
65d0f593a9f96d011aaf4dc2,Hdfc Bank
65d0f593a9f96d011aaf4dc3,Appario Retail Pvt. Ltd (Karnataka)
65d0f593a9f96d011aaf4dc4,Hdfc Bank
65d0f593a9f96d011aaf4dc5,Hdfc Bank
65d0f593a9f96d011aaf4dc6,Sunset Beach Resort - STAAH
65d0f593a9f96d011aaf4dc7,Aastha Escape -  STAAH
65d0f593a9f96d011aaf4dc8,Nanutel - STAAH
65d0f593a9f96d011aaf4dc9,Hotel Calangute Towers - STAAH
65d0f593a9f96d011aaf4dca,Hdfc Bank
65d0f593a9f96d011aaf4dcb,Google India Private Limited
65d0f593a9f96d011aaf4dcc,Cash
65d0f593a9f96d011aaf4dcd,Punjab National Bank
65d0f593a9f96d011aaf4dce,Mathias Construction Pvt Ltd
65d0f593a9f96d011aaf4dcf,Classic Squares Realty Pvt Ltd
65d0f593a9f96d011aaf4dd0,Linc Property Developers Pvt Ltd
65d0f593a9f96d011aaf4dd1,ICICI Bank
65d0f593a9f96d011aaf4dd2,ICICI Bank
65d0f593a9f96d011aaf4dd3,ICICI Bank
65d0f593a9f96d011aaf4dd4,ICICI Bank
65d0f593a9f96d011aaf4dd5,ICICI Bank
65d0f593a9f96d011aaf4dd6,ICICI Bank
65d0f593a9f96d011aaf4dd7,ICICI Bank
65d0f593a9f96d011aaf4dd8,ICICI Bank
65d0f593a9f96d011aaf4dd9,ICICI Bank
65d0f593a9f96d011aaf4dda,ICICI Bank
65d0f593a9f96d011aaf4ddb,Chirag Thakkar
65d0f593a9f96d011aaf4ddc,ICICI Bank
65d0f593a9f96d011aaf4ddd,Punjab National Bank
65d0f593a9f96d011aaf4dde,Granpa's Inn - STAAH
65d0f593a9f96d011aaf4ddf,Hotel Avisha Residency (C) - STAAH
65d0f593a9f96d011aaf4de0,Mangal Farmstay - STAAH
65d0f593a9f96d011aaf4de1,Punjab National Bank
65d0f593a9f96d011aaf4de2,O Pierre - STAAH New
65d0f599a9f96d011aaf5924,Rio Boutique - DG
65d0f599a9f96d011aaf5925,Sudhanand Four Seasons - Staah
65d0f599a9f96d011aaf5926,Rio Management Services Private Linited
65d0f599a9f96d011aaf5927,Rio Management Services Private Linited
65d0f599a9f96d011aaf5928,GSUDA
65d0f599a9f96d011aaf5929,Laben Resort
65d0f599a9f96d011aaf592a,Chowgule Lavgan Shiprepair Private Limited
65d0f599a9f96d011aaf592b,Chances Casino Resort ( DG )
65d0f599a9f96d011aaf592c,Lotus Feet
65d0f599a9f96d011aaf592d,Hospedaria Abrige De Botelho - STAAH
65d0f599a9f96d011aaf592e,Hdfc Credit Card 6963
65d0f599a9f96d011aaf592f,Hdfc Credit Card 6963
65d0f599a9f96d011aaf5930,Google India Private Limited
65d0f599a9f96d011aaf5931,Nirvana Hill Resort - STAAH
65d0f599a9f96d011aaf5932,Athi Resort - STAAH
65d0f599a9f96d011aaf5933,Lester De Melo
65d0f599a9f96d011aaf5934,ICICI Bank
65d0f599a9f96d011aaf5935,Mangal Farmstay - STAAH
65d0f599a9f96d011aaf5936,Punjab National Bank
65d0f599a9f96d011aaf5937,Viva Hotel -  STAAH
65d0f599a9f96d011aaf5938,Beleza...by the Beach - STAAH
65d0f599a9f96d011aaf5939,Baywatch Resort - STAAH
65d0f599a9f96d011aaf593a,Dempo River Sal Resort & Spa - STAAH
65d0f599a9f96d011aaf593b,Aastha Escape -  STAAH
65d0f599a9f96d011aaf593c,Acron BNB - STAAH (New)
65d0f599a9f96d011aaf593d,Acron Candolim Regina - STAAH
65d0f599a9f96d011aaf593e,Acron Seaway Resort - STAAH
65d0f599a9f96d011aaf593f,Acron Waterfront Resort - STAAH
65d0f599a9f96d011aaf5940,Aero Village - STAAH
65d0f599a9f96d011aaf5941,Alagoa Beach Resort - STAAH
65d0f599a9f96d011aaf5942,Hotel Amani (Ajgaonkar) - STAAH
65d0f599a9f96d011aaf5943,Amour Resort - STAAH
65d0f599a9f96d011aaf5944,Andores Resort & Spa - STAAH
65d0f599a9f96d011aaf5945,Antares Beach Resort - STAAH
65d0f599a9f96d011aaf5946,Arotel Rooms & Suites - STAAH
65d0f599a9f96d011aaf5947,Athi Resort - STAAH
65d0f599a9f96d011aaf5948,Baga High Q - STAAH
65d0f599a9f96d011aaf5949,Bambolim Beach Resort - STAAH
65d0f599a9f96d011aaf594a,Bay 15 - STAAH (New)
65d0f599a9f96d011aaf594b,Baywatch Resort - STAAH
65d0f599a9f96d011aaf594c,Bedrock Boutique Hostel - STAAH
65d0f599a9f96d011aaf594d,Beira Mar Beach Resort - STAAH
65d0f599a9f96d011aaf594e,Beleza...by the Beach - STAAH
65d0f599a9f96d011aaf594f,Bogmallo Beach Resort - STAAH
65d0f599a9f96d011aaf5950,Boomerang  Ashvem (C) - STAAH
65d0f599a9f96d011aaf5951,Cabo Serai - STAAH
65d0f599a9f96d011aaf5952,Calangute Beach Resort - STAAH
65d0f599a9f96d011aaf5953,Calangute Grande (Baba Hotels) - STAAH
65d0f599a9f96d011aaf5954,Goa Electronics - STAAH
65d0f599a9f96d011aaf5955,Goa Tourism Development Corporation Limited - STAAH
65d0f599a9f96d011aaf5956,Casa De Goa - STAAH
65d0f599a9f96d011aaf5957,Casa Menezes - STAAH
65d0f599a9f96d011aaf5958,Casa Severina - STAAH
65d0f599a9f96d011aaf5959,Casablanc Beach Resorts LLP -STAAH
65d0f599a9f96d011aaf595a,Cavala - The Seaside Resort - STAAH
65d0f599a9f96d011aaf595b,Chances Resort And Casino - STAAH
65d0f599a9f96d011aaf595c,Cochichos Resort - STAAH
65d0f599a9f96d011aaf595d,Coconut Creek - STAAH
65d0f599a9f96d011aaf595e,Crystal Serenity - STAAH
65d0f599a9f96d011aaf595f,De Mandarin Bangalore - STAAH New
65d0f599a9f96d011aaf5960,De Mandarin Beach Suites - STAAH
65d0f599a9f96d011aaf5961,De Mandarin Goa - STAAH
65d0f599a9f96d011aaf5962,Devasthali - STAAH
65d0f599a9f96d011aaf5963,Andores Resort & Spa - STAAH
65d0f599a9f96d011aaf5964,Eros Boutique - STAAH New
65d0f599a9f96d011aaf5965,Estrela Do Mar - STAAH
65d0f599a9f96d011aaf5966,Fahrenheit Hotels and Resorts - STAAH
65d0f599a9f96d011aaf5967,Ginger Tree Anjuna - STAAH New
65d0f599a9f96d011aaf5968,Golden Tulip - STAAH
65d0f599a9f96d011aaf5969,Goveia Holiday Homes - STAAH New
65d0f599a9f96d011aaf596a,Graciano Cottages - STAAH
65d0f599a9f96d011aaf596b,Grandeur De Sanchi - STAAH
65d0f599a9f96d011aaf596c,Granpa's Inn - STAAH
65d0f599a9f96d011aaf596d,Hospedaria Abrige De Botelho - STAAH
65d0f599a9f96d011aaf596e,Hotel Avisha Residency - STAAH
65d0f599a9f96d011aaf596f,Hotel Calangute Towers - STAAH
65d0f599a9f96d011aaf5970,Hotel Goan Heritage - STAAH
